"ID","ans_ratio","ans_rt","ans_acc","ans_switch","applied_problems"
"p1_12",1.11,0.829689740666667,0.541666666666667,1.42129629633333,106
"p1_12",1.14,0.783488336666667,0.515873015666667,1.25264550266667,106
"p1_12",1.2,0.860602887666667,0.778439153333333,1.468253968,106
"p1_12",1.25,0.739706337333333,0.607142857,1.242063492,106
"p1_12",1.33,0.810589810333333,0.916666666666667,1.31481481466667,106
"p1_14",1.11,1.32994270733333,0.681481481333333,2.38148148133333,102
"p1_14",1.14,1.28215813333333,0.7,2.36666666666667,102
"p1_14",1.2,1.214588375,0.591666666666667,2.225,102
"p1_14",1.25,1.12522429266667,0.925925926,2.225,102
"p1_14",1.33,1.125036211,0.859259259333333,2.174074074,102
"p1_15",1.11,2.04634364166667,0.733333333333333,2.04166666666667,106
"p1_15",1.14,2.01539510733333,0.859259259333333,2.09629629633333,106
"p1_15",1.2,2.02886734633333,0.896296296333333,1.86851851866667,106
"p1_15",1.25,1.977634563,0.929629629666667,2.348148148,106
"p1_15",1.33,2.00578765933333,1,2.148148148,106
"p1_16",1.11,0.699853916666667,0.625,1.54166666666667,116
"p1_16",1.14,0.675224155,0.678571428333333,1.54761904766667,116
"p1_16",1.2,0.70044123,0.793650793666667,1.36507936533333,116
"p1_16",1.25,0.688849555666667,0.916666666666667,1.55555555566667,116
"p1_16",1.33,0.725883733333333,0.740740740666667,1.79259259266667,116
"p1_17",1.11,1.376490137,0.681481481333333,2.062962963,102
"p1_17",1.14,1.33424286666667,0.766666666666667,2.148148148,102
"p1_17",1.2,1.314779,0.666666666666667,1.93333333333333,102
"p1_17",1.25,1.2964023,0.7,1.96666666666667,102
"p1_17",1.33,1.28538428533333,0.674074074333333,2.111111111,102
"p1_18",1.11,1.034592089,0.722222222333333,2.311111111,108
"p1_18",1.14,1.00108636666667,0.766666666666667,2.43333333333333,108
"p1_18",1.2,0.959883033333333,0.866666666666667,2.23333333333333,108
